Profile 1             
x       y           
[m]     [m]         
0  1.2598411e-08            
1e-08  1.0464938e-08            
2e-08  9.2757502e-09            
3e-08  7.9587157e-09            
4e-08  7.1402762e-09            
5e-08  1.0346358e-07            
6e-08  1.1980901e-07            
7e-08  1.3525523e-07            
8e-08  1.3968755e-07            
9e-08  1.4582856e-07            
1e-07  1.4879129e-07            
1.1e-07  1.4985257e-07            
1.2e-07  1.4803531e-07            
1.3e-07  1.480324e-07            
1.4e-07  1.4657123e-07            
1.5e-07  1.3973094e-07            
1.6e-07  1.3683171e-07            
1.7e-07  1.3280524e-07            
1.8e-07  1.0577179e-07            
1.9e-07  6.541192e-08            
2e-07  2.3908743e-08            
2.1e-07  1.2889391e-08            
2.2e-07  1.2960151e-08            
2.3e-07  1.2232894e-08            
